inn,company_name,phone,email,short,reputation,successful_tenders,unsuccessful_tenders
7801450808,"ООО ""Геоскан""",8 (800) 333-84-77,info@geoscan.aero,Компактный беспилотный комплекс для автоматической аэрофотосъемки,0,0,0
9731052071,"ООО ""Кир-СК""",8 (925) 119-72-19,mail@erciem.ru,Универсальный состав для удаления всех типов ЛКМ,0,0,0
9731052071,"ООО ""Кир-СК""",8 (925) 119-72-19,mail@erciem.ru,Химический состав для долгосрочной защиты металла от коррозии,0,0,0
9731052071,"ООО ""Кир-СК""",8 (925) 119-72-19,mail@erciem.ru,Гидроизоляционный и противогрибковый состав проникающего капиллярного действия,0,0,0
3312040639,"ООО ""Бартер Смартплэйс""",,team@barter.company,"Платформа бартерной, аукционной и прямой торговли для цифровых и реальных активов",0,0,0
9731062094,"ООО ""Факультетус""",,support@facultetus.ru,"Цифровая карьерная среда для университетов, студентов и работодателей",0,0,0
7709459157,"ООО ""Свиткард""",8 (495) 220-09-20,info@sweetcard.com,Платформа таргетированных предложений в формате персональных Stories в мобильном банке,0,0,0
5032308365,"ООО ""Анимаго""",8 (800) 234-75-90,info@animago.world,Онлайн-психотерапия для детей в игровом формате,0,0,0
7704450930,"ООО ""Реалитика""",,hello@realytics.ru,Система анализа клиентских впечатлений,0,0,0
7726682300,"ООО ""Содис Лаб""",8 (495) 545‒48‒40,info@sodislab.ru,Автоматизация всех процессов строительства,0,0,0
7726478544,"ООО ""Оффсеттед""",8 (964) 724-27-71,info@offsetted.com,Платформа для мониторинга и компенсации экологического следа компаний,0,0,0
7733755982,"ООО ""Даофис""",8 (495) 782-68-87,,"Платформа для коммуникаций, совместной работы
и управления распределенным персоналом",0,0,0
773391086468,"ООО ""Эсборд""",,founders@sboard.online,Онлайн-доска для дистанционных занятий,0,0,0
7702438912,"ООО ""Сола""",,ls@hellosola.com,Wellbeing платформа для HR,0,0,0
7728452439,"ООО ""Мой Учитель""",8 (800) 700-11-01,office@umius.ru,Онлайн-сервис дополнительного образования,0,0,0
7730248198,"ООО ""Онмед""",8 (800) 500-33-98,info@bisonmedical.ru,Установка для обеззараживания УФ излучением,0,0,0
7733356307,"ООО ""Экобокс""",8 (800) 707-73-80,ecoboxplanet@gmail.com,Портативный стерилизационный бокс,0,0,0
7733356307,"ООО ""Экобокс""",8 (800) 707-73-80,ecoboxplanet@gmail.com,УФ-стерилизатор для эскалатора,0,0,0
7813632954,"ООО ""ЕЛС""",8 (812) 904-14-40,info@elocksecurity.ru,Сервис по совместному использованию машиномест в паркингах,0,0,0
7726456533,"ООО ""Энергия""",8 (495) 103-42-82,info@fazzza.ru,Энергоэффективные устройства,0,0,0
9715375131,"ООО ""Брио МРС""",8 (843) 500-00-82,info@briogroup.ru,Платформа дополненной и смешанной реальности для строительства,0,0,0
7715670503,"ООО ""Актион-Диджитал""",8 (499) 995-09-86,info@xsud.ru,Программа учета судебных дел,0,0,0
1651083591,"ООО ""Чаевые-24""",8 (499) 112-42-04,rinat@tips24.ru,Сервис роста чаевых,0,0,0
7811516582,"ООО ""ГОВОРЯЩИЙ ГОРОД""",8 (812) 244-46-72,info@stp-ing.com,Система информирования и ориентирования инвалидов по зрению и других маломобильных групп населения,0,0,0
7731400695,"ООО ""Бинолоджи""",8 (495) 291-00-50,info@binology.com,Умная урна,0,0,0
7728342130,"ООО ""БИОРС""",8 (495) 665-24-42,biors@biors.ru,Аппаратно-программный комплекс для скрининговой экспресс-диагностики,0,0,0
7710297334,"ООО ""ОКУЛЮС 2000""",8 (499) 151-39-70,sym111@mail.ru,Система интегрального неинвазивного мониторинга,0,0,0
7724801872,"ООО ""ЮСОНТЕК""",,info@usontec.com,,0,0,0
7727316793,"ООО ""Лоретт""",8 (968) 605-58-02,contact@lorett.org,Аппаратно-программный комплекс спутникового мониторинга,0,0,0
6154082572,ООО НМФ «Нейротех»,8 (800) 600-16-24,main@neurotech.ru,Система биологической обратной связи,0,0,0
7717693217,"ООО ""АЙ-ФОРС""",8 (495) 747-70-40,i@fors.ru,Система планирования и мониторинга реабилитационного процесса,0,0,0
9717050266,"АНО ""ЛАБОРАТОРИЯ ""СЕНСОР-ТЕХ""",8 (499) 398-06-77,info@sensor-tech.ru,Умный помощник для незрячих людей,0,0,0
7734395066,"ООО ""ВИТ МЕДИКАЛ""",8 (926) 888-77-40,fp.vitmedical@gmail.com,Аппарат вакуумный для быстрого заживления ран,0,0,0
7724396261,"ООО ""БИОРГ""",8 (495) 739-92-37,info@beorg.ru,Сервис для эффективного распознавания документов и оцифровки изображений в корпоративных бизнес-процессах,0,0,0
7727317028,"ООО ""ПАГ""",8 (985) 255-55-01,info@arvizio.com,"Платформа для проведения экскурсий, уроков, презентаций с элементами виртуальной реальности",0,0,0
7708808849,"ООО ""ВладИмперМет""",,,BIM платформа для проектирования и строительства,0,0,0
5023010131,"ООО ""КРАСНОЕ ПОЛЕ""",8 (499) 499-28-78,info@tiokraft.ru,Обеззараживатель воздуха фотокаталитический,0,0,0
7701692271,"ООО ""Диалог Комплект""",8 (499) 753-28-18,info@termopodnos.ru,Метод организации питания,0,0,0
7718156134,"ООО ""МЕДПЛАНТ""",8 (495) 223-60-16,medplant@medplant.ru,Дозатор шприцевый портативный лекарственных средств,0,0,0
7713397390,"ООО ""ТЕКНИКС""",8 (800) 302-71-40,info@technixx.ru,Энергоэффективная система отопления,0,0,0
7713475095,ApRbot,8 (916) 633-03-67,aa@abolmasov.com,Сервис для потокового анализа входящих документов на основе искусственного интеллекта,0,0,0
7448159903,"ООО ""Стендап Инновации""",8 (495) 118-41-76,info@playstand.ru,Умное зеркало для профилактики и коррекции дефектов речи у детей,0,0,0
7703772317,"ООО ""Чистая Энергия""",8 (985) 991-74-18,info@bimar.ru,Цифровой двойник конструкционных элементов,0,0,0
7719402047,"ООО ""МОТОРИКА""",8 (800) 200-24-39,info@motorica.org,Протез-гаджет с индивидуальным дизайном на выбор,0,0,0
7704871416,"ООО ""ЭКЗОАТЛЕТ""",8 (495) 374-85-30,info@exoatlet.ru,Экзоскелет для реабилитации пациентов,0,0,0
9705048833,"ООО ""АЙТИ УМНЫЙ ГОРОД""","8 (495) 139-62-77
8 (495) 974-79-79",office@unilight.ru,Комплекс распознавания движения для обеспечения безопасности пешеходов,0,0,0
9731046977,"ООО ""Транскрипт""",8 (495) 922-05-02,info@transcript.group,Автоматизированная система обучения персонала,0,0,0
7720492013,"ООО ""Волтеп""",8 (916) 120-10-88,info@voltep.ru,Платформа для проведения интерактивных онлайн мероприятий,0,0,0
5262257980,"ООО НПФ ""Реабилитационные Технологии""",8 (831) 296-14-33,info@madin.ru,Реабилитационная перчатка,0,0,0
7714762021,"ООО ""РАДУГА""",8 (495) 640-97-62,info@skyeermap.com,Облачная геоинформационная платформа,0,0,0
9723043411,"ООО ""СА Медиа Групп""",8 (495) 178-00-57,dsp@oohdesk.ru,Профессиональный инструмент для outdoor рекламы,0,0,0
7724814670,"ООО ""КОМПАНИЯ ""КРЕДО-ДИАЛОГ""",8 (499) 921-02-95,market@credo-dialogue.com,Система автоматизированного проектирования автомобильных дорог,0,0,0
7703697540,"АО ""Дабл Би""",8 (906) 786-84-66,thanks@flypenny.com,Транзакционный мобильный сервис монетизации лояльности для привлечения клиентов в места продаж и для повышения безопасности дорожного движения,0,0,0
9717050266,"АНО ""ЛАБОРАТОРИЯ ""СЕНСОР-ТЕХ""",8 (499) 398-06-77,info@sensor-tech.ru,Устройство для распознавания речи,0,0,0
7735607524,"ООО ""Пикасо 3Д""",8 (499) 653-87-91,info@picaso-3d.ru,Принтер 3Д персональный,0,0,0
7710944863,"ООО ""ЭНЕРГИЯ ОПТИМУМ""",8 (499) 426-06-68,info@optimizator-energy.ru,Сохранение напряжения в электросети в заданном диапазоне,0,0,0
7842392312,"ООО ""Иску Интерьер СП""",8 (812) 448-11-38,contact@isku.ru,Антимикробная модульная мебель,0,0,0
9709051668,"ООО ""Пиплпасс""",8 (495) 144-72-77,info@peoplepass.ru,Система бесконтактной регистрации посетителей,0,0,0
6671336747,"ООО ""Диваора Групп""",8 (903) 080-38-43,divaora @gmail.com,Тренажер для глаз,0,0,0
5052007599,"ОАО ""ИАИ""",8 (495) 465-86-68,info@istok-audio.com,Тифлофлешплеер портативный,0,0,0
7733894200,"ООО ""Гаскар Интеграция""",8 (499) 990-98-02,integration@gaskar.group,Лицевая биометрия в системах контроля и управления доступом,0,0,0
7717776495,"ООО ""Айкода""",8 (925) 807-24-34,eyes@voicevision.ru,Система звукового зрения,0,0,0
7721675556,"ООО ""НЕВРОКОР""",8 (495) 740-35-34,info@neurocor.ru,Диагностика и восстановление функций опорно-двигательного аппарата,0,0,0
5052007599,"ОАО ""ИАИ""",8 (495) 792-02-10,rt@istok-audio.com,Программа виртуальной реабилитации,0,0,0
7719434120,"ООО ""НТЦ МЗТА""",8 (495) 720-54-44,basic@mzta.ru,Автоматизация инженерных систем,0,0,0
7736245612,"ООО ""ИНТЕЛЛОДЖИК""",8 (495) 649-13-09,info@botkin.ai,Платформа для анализа и обработки медицинских изображений,0,0,0
9717076264,"ООО ""Товеко""",8 (495) 228-49-11,info@toweco.ru,Агрегатор отзывов,0,0,0
7604288987,"ООО ""Точка Зрения""",8 (926) 233-77-73,chepikov@tochka.ai,Система поддержки принятия врачебных решений при эндоскопии желудочно-кишечного тракта,0,0,0
7727410980,"ООО ""АРпорт""",8 (495) 177-47-21,inbox@arport.ru,VR практикумы по охране труда и технике производственной безопасности,0,0,0
7724421422,ООО «Спектрум Лаб»,8 (915) 388-04-01,hello@datafuel.me,Система поиска и анализа информации о клиенте для персонализации контента,0,0,0
7710499161,"ООО ""НТЕХ ЛАБ""",8 (499) 110-22-54,info@findface.pro,Система распознавания лиц,0,0,0
7726458629,ООО «Интеллектдиалог»,8 (495) 204-13-66,hi@intellectdialog.com,Платформа автоматизации мессенджер маркетинга,0,0,0
7736257520,"ООО ""НЕЙРОСЕТИ АШМАНОВА""",8 (495) 409-84-97,info@ashmanov.net,Нейросетевая библиотека для сборки и обучения нейронной сети,0,0,0
7717671799,"АО ""ШВАБЕ""",8 (499) 951-48-32,mail@shvabe.com,Умный светофор,0,0,0
771773762932,ИП Слепак Евгений Владимирович,8 (495) 744‑03‑06,aam@agrocompost.ru,Стационарная автоматизированная система для компостирования органических отходов,0,0,0
7731345645,"ООО ""ВАЙТЕКС""",8 (495) 665-29-80,info@vitex-carbon.ru,Электронагревательная пленка,0,0,0
9731061661,ООО «ЮР-ЛИ»,,main@ur-li.ru,Юридическая AI-система,0,0,0
9729116955,"ООО ""Хидбук Клауд""",8 (495) 128-03-20,info@heedbook.com,Онлайн-сервис для измерения клиентской лояльности,0,0,0
5903113639,"ООО ""ПРОМОБОТ""",8 (800) 551-65-48,info@promo-bot.ru,Робот-диагност,0,0,0
7811718412,ООО «Хелмитон»,8 (495) 877-43-89,info@helmeton.ru,Платформа для создания обучающих курсов в виртуальной реальности,0,0,0
5036144245,"ООО ""СЪЕМКА С ВОЗДУХА""",8 (495) 125-20-82,info@geodrone.su,Беспилотный летательный аппарат,0,0,0
7801450808,"ООО ""Геоскан""",8 (812) 325-31-31,info@geoscan.aero,Многофункциональный учебно-методический комплекс,0,0,0
7714828522,"ООО ""ПЛЭЙ!""",8 (495) 225-57-59,kursky@start2play.ru,Комплексная платформа для корпоративного развития сотрудников,0,0,0
7705647495,"ООО ""ДЕКАСТ""",8 (495) 232-19-30,metronic@decast.com,Тахометрический компактный теплосчетчик,0,0,0
9710056741,"ООО ""КЭРЕМЕНТОРЭЙАЙ""",8 (926) 212-80-11,info@cmai.team,Система ИИ для анализа и интерпретации результатов лучевых методов исследования,0,0,0
7731476895,"ООО ""ТЕКСЕЛ""",8 (495) 018-39-35,i@texel.graphics,Полноростовой 3d сканер,0,0,0
7716949610,"ООО ""БРУНО""",8 (495) 115-08-72,a.sereda@brunosystem.com,"Облачный сервис, позволяющий автоматизировать процесс удаленного контроля персонала",0,0,0
5036178195,"ООО ""ГОЛЬФ РОБОТИКС""",8 (926) 703-15-61,v@golf-robotics.com,Автономный робот для сбора мячей для гольфа на тренировочном поле,0,0,0
5027266737,"ООО ""ЛИСТ""",8 (495) 232-19-30,info@listeam.ru,Система сбора данных с приборов учета энергоресурсов,0,0,0
7804129134,"ООО ""ХАБИЛЕКТ""",8 (812) 642 50 51,info@habilect.com,Комплекс диагностики и реабилитации,0,0,0
5902851746,"ООО ""САТЕЛЛИТ""",8 (342) 215-78-55,info@macroscop.com,Профессиональное ПО для систем видеонаблюдения,0,0,0
7715906332,"АО ""КОНЦЕРН ""АВТОМАТИКА""",8 (495) 250-33-33,mail@ao-avtomatika.ru,Использование беспилотников для контроля состояния ЛЭП,0,0,0
7702406004,"ООО ""ХИРАНА+""",8 (800) 600-53-83,info@chirana.plus,Универсальный аппарат искусственной вентиляции легких,0,0,0
7726440396,"ООО ""Сизиджи Криейшен""",8 (499) 455-12-64,chernov@wibedo.com,Сервис для подбора персонала на одну или несколько смен с выплатой после каждой смены,0,0,0
7729709060,"ООО ""Криотехномед""",8 (495) 719-96-00,cryotechnomed@gmail.com,Аппарат терапевтической гипотермии,0,0,0
7702462672,"ООО ""Хэппи Бизнес""",8 (495) 128-62-27,niktrishin1@gmail.com,Онлайн детский сад,0,0,0
6658427850,"ООО ""ЭЛЕКТРОННЫЕ ПЛАТФОРМЫ""",,info@examus.net,Решение для прокторинга,0,0,0
7733316720,"ООО ""СРТ""",8 (495) 191-22-64,info@strij.tech,Автоматизированная система учета электроэнергии,0,0,0
2465266818,"ООО ""НПП ""БЕВАРД""",8 (495) 502-27-29,moscow@beward.ru,IP камера с моторизованным объективом,0,0,0
7735607524,"ООО ""Пикасо 3Д""",8 (499) 653-87-91,info@picaso-3d.ru,Высокопроизводительный 3D принтер профессионального класса,0,0,0
7735607524,"ООО ""Пикасо 3Д""",8 (499) 653-87-91,info@picaso-3d.ru,Высокопроизводительный 3D принтер,0,0,0
7705980898,"ООО ""Медиа Консалтинг""",8 (495) 984-23-64,info@jagajam.com,"Уникальная система продуктов
статистики и автоматизации работы
с социальными сетями",0,0,0
7733255965,"ООО ""ВОРЛДЭКС ГРУПП""",8 (495) 998-13-13,info@worldexsport.com,Водный тренажер «Искусственная волна для серфинга»,0,0,0
7448159903,"ООО ""Стендап инновации""",8 (351) 223-39-71,partners@playstand.ru,Итерактивная песочница,0,0,0
7731329065,"ООО ИК ""ВЕЛЕС""",8 (351) 700-18-88,mtm103@mtm-holding.ru,Умная опора освещения,0,0,0
6658396024,"ООО ""Прософт-Биометрикс""",8 (800) 600-25-46,,Сканер для бесконтактной идентификации по рисунку вен ладони,0,0,0
7714428059,"ООО ""Айнерикс Софт""",8 (499) 288-00-58,info@ainerics.com,Сервис умного видеонаблюдения,0,0,0
504510131001,ИП Онищук Григорий Николаевич,,service@qindex.pro,"Облачная система автоматизации сбора, обработки, анализа и работы с отзывами для повышения лояльности клиентов",0,0,0
7716824731,"ООО ""Тотал Вижен""",8 (967) 027-55-55‬,gr@total-vision.ru,Анализатор поля зрения на базе системы виртуальной реальности,0,0,0
7728439565,"ООО ""Мобильная Платформа""",8 (495) 127-74-99,albert@robotalbert.com,Инструмент для создания и проведения обучения с помощью чат-ботов,0,0,0
5024148238,"ООО ""Отто Бокк-Ортопедическая Техника""",8 (800) 700-83-60,info@ottobock.ru,,0,0,0
6315630208,"ООО ""ГК Инфопро""",8 (800) 600-24-01,post@info-pro.ru,Автоматизированная система планирования и выполнения работ мобильных бригад в области энергетики,0,0,0
7729032042,"ООО ВНПП ""Жива""",8 (800) 505-20-25,info@jiva.ru,Интеллектуальный многофункциональный лечебный комплекс,0,0,0
7706416451,"ООО ""БЛИЖЕ К ДЕЛУ""",8 (499) 608-89-01,support@usedesk.ru,Система автоматизации обработки потока клиентских запросов,0,0,0
7735104182,"ООО ""Компнет""",8 (499) 645-50-52,info@mediafly.net,Комплексная система управления медиаконтентом,0,0,0
7733316720,"ООО ""СРТ""","8 (495) 191-22-64
 8 (800) 550-83-54",info@strij.tech,Автоматизированная система учета потребления воды,0,0,0
7731314340,"ООО ""НЕЙРОКОГНИТИВНЫЕ ТЕХНОЛОГИИ""",8 (915) 418-41-87,info@neurocogtech.com,Бесконтактный интерфейс для управления компьютером при помощи взгляда,0,0,0
9705048833,"ООО ""АЙТИ УМНЫЙ ГОРОД""","8 (495) 139-62-77
8 (495) 974-79-79",office@unilight.ru,Автоматизированная система управления наружным освещением (АСУНО),0,0,0
1655241023,"ООО ""Эйдос-Медицина""",8 (843) 227-40-63,mail@oooeidos.ru,Симулятор эндоскопии,0,0,0
7731326297,"ООО ""АЛЬТ""",8 (495) 004-47-32,sales@nttl.ru,Персональная голографическая система,0,0,0
7701094560,"ООО ""НЕЙРО""",8 (495) 137-76-87,info@neuro.net,Голосовой робот для автоматизации общения с клиентами,0,0,0
9719006470,"ООО ""Робоход""",8 (925) 846-00-81,info@robohod.ru,Линейка модульных робототехнических наборов,0,0,0
7718195662,"ООО ""ЦПОСН ""ОРТОМОДА""",8 (495) 255-55-24,orthoped@orthomoda.ru,Трёхмерное ортопедическое моделирование формы стельки по стопе пациента,0,0,0
7840398453,"ООО ""Синкор""",8 (800) 302-72-76,info@sinkor.ru,Комплекс биоакустической коррекции,0,0,0
7736612044,"ООО ""Инносторм Студио""",8 (903) 185-85-28,info@innostorm.ru,Комплекс дистанционной диагностики опорно-двигательного аппарата в послеоперационном периоде,0,0,0
7725752032,"АО ""СОЦМЕДИКА""",8 (499) 991-19-88,info@socmedica.com,Сервис поддержки принятия врачебных решений,0,0,0
3729002450,"ООО ""НЕЙРОСОФТ""",8 (493) 295-99-99,info@neurosoft.com,Комплекс для проведения нагрузочного тестирования под контролем ЭКГ,0,0,0
7714628474,"ООО ""ЦЕНТР ДЕНТАЛЬНОЙ ИМПЛАНТАЦИИ""",8 (499) 350-00-03,implant-assistant@yandex.ru,3D-планирование операций в стоматологии,0,0,0
7707380751,"ООО ""ТЕЛЕПАТ""",8 (495) 519-00-78,info@medsenger.ru,Медицинский мессенджер для общения пациента с лечащим врачом,0,0,0
7707545900,"ООО ""ХФ Лабс""",8 (495) 928-86-41,ask@hflabs.ru,"Программный комплекс для централизованного хранения, обеспечения качества и синхронизации информации",0,0,0
9731038542,"ООО ""Нейросканер""",8 (911) 217-36-30,a@neuroscanner.net,Система автоматического определения скрытых дефектов,0,0,0
9705097051,"ООО ""Стем-Игры""",8 (926) 388-17-57,vr@stemgames.ru,Безопасная химическая лаборатория в виртуальной реальности,0,0,0
7707832969,"ООО ""ФИНКЕЙС""",8 (499) 653-61-53,info@f-case.ru,Платформа скорингового анализа стоимости недвижимости,0,0,0
7733894200,"ООО ""Гаскар Интеграция""",8 (499) 990-98-02,N.ryashin@gaskar.group,Видеомониторинг всех объектов и этапов строительства,0,0,0
7726532696,"ЗАО ""ИНТЕГРА -С""",8 (495) 730-62-52,moscow@integra-s.com,Геоинформационная система высокого уровня,0,0,0
7733316720,"ООО ""СРТ""","8 (495) 191-22-64
8 (800) 550-83-54",info@strij.tech,Беспроводная система контроля и защиты от протечек воды,0,0,0
7709812157,"ООО ""ПТС""",8 (495) 737-78-78,office@pts-russia.com,"ПО для разработки приложений дополненной реальности для использования в логистике, обучении, маркетинге",0,0,0
7707380751,"ООО ""Телепат""",8 (499) 519-00-78,info@medsenger.ru,Система мониторинга и поддержки пациентов после трансплантации органов,0,0,0
7726532696,"ЗАО ""ИНТЕГРА -С""",8 (495) 730-62-52,moscow@integra-s.com,Система интеллектуального видеонаблюдения,0,0,0
7718511413,"АО ""НЕОЛАНТ""",8 (499) 999-00-00,info@neolant.com,Цифровая модель для управления процессом строительства,0,0,0
7735508393,"ООО ""БИОСОФТ-М""",8 (495) 729-43-14,office@biosoft-m.ru,Носимый аппарат вспомогательного кровообращения - искусственный левый желудочек сердца,0,0,0
7720431412,"ООО ""Лаборатория Инноваций""",8 (499) 110-72-45,info@markethelp.ru,Платформа по размещению товаров на маркетплейсах,0,0,0
7725259211,"ООО ""СМИС ЭКСПЕРТ""",8 (495) 532-52-62,smisexpert@bk.ru,Мониторинг и управление инженерными системами зданий,0,0,0
7733327426,"ООО ""Ювл Роботикс""",8 (495) 988-73-34,info@uvl.io,Складская инвентаризация дронами,0,0,0
7725259211,"ООО ""СМИС ЭКСПЕРТ""",8 (495) 532-52-63,smisexpert@bk.ru,Система мониторинга инженерных (несущих) конструкций,0,0,0
9729014181,"ООО ""КОПТЕР ЭКСПРЕСС ТЕХНОЛОГИИ""",8 (495) 662-99-34,mail@copterexpress.ru,Автономный квадрокоптер с зарядной станцией базирования,0,0,0
7705515442,"ООО ""МТ-Технологии""",8 (499) 450-92-99,city@qvant.ru,Платформа для самостоятельного запуска рекламы на аудиторию Wi-Fi-сети MT_FREE с привязкой к геолокации,0,0,0
7718650199,"ООО ""АЙТИ АГЕНТСТВО ОС3""",8 (499) 750-21-06,oc3@oc3.ru,Интерактивный пол для проведения образовательных групповых занятий в детских садах и начальной школе,0,0,0
7722570620,"АО ""СИСОФТ ДЕВЕЛОПМЕНТ""",8 (495) 980-64-46,support@csdev.ru,Система управления строительством или промышленным предприятием,0,0,0
9731049287,"ООО ""К-Скай""",8 (800) 234-05-04,info@webiomed.ai,Система предиктивной аналитики и управления рисками в здравоохранении на основе искусственного интеллекта,0,0,0
7708124246,"ООО ""ИНТЕЛПРИБОР""",8 (495) 221-21-74,intelpribor@intelpribor.ru,Автоматизированный узел управления,0,0,0
7701954054,"ООО ""ВИЖНЛАБС""",8 (499) 399-33-61,info@visionlabs.ru,Система распознавания и анализа лиц,0,0,0
7720818265,"ООО ""ТАРИС-ВТ""",8 (495) 223-25-18,taris@taris.ru,Роботизированная система телеинспекции трубопроводов,0,0,0
5007092747,"ООО ""Конкордия""",8 (903) 134-84-84,info@concordiya.org,Многофункциональная эко скамейка,0,0,0
5006010822,"ООО ""АУРА""",8 (985) 202-44-42,aura-info@mail.ru,Система восстанавливающего и оздоравливающего массажа специальными музыкальными волнами,0,0,0
5018000402,"ЗАО НВП ""БОЛИД""","8 (495) 775-71-55
 8 (495) 777-40-20",info@bolid.ru,Интегрированная система охраны,0,0,0
3017062650,"ООО ""Адептик Плюс""",8 (495) 241-02-76,sales@adeptik.com,"Системы оптимизационного планирования для производства, логистики и сервиса",0,0,0
9731061823,"ООО ""Докибот""",8 (495) 178-05-83,hello@dokibot.ru,Робот для сбора и анализа документов,0,0,0
7718511413,"АО ""НЕОЛАНТ""",8 (499) 999-00-00,info@neolant.com,Система управления инженерными данными об объектах промышленного и гражданского строительства,0,0,0
7017252707,"ООО ""УТС""",8 (909) 549-20-56,info@isandbox.ru,Интерактивная песочница,0,0,0
7448159903,"ООО ""Стендап инновации""",8 (351) 223-39-71,partners@playstand.ru,Интерактивный скалодром,0,0,0
7730203648,"ООО ""НейроЧат""",8 (962) 366-54-35,info@neurochat.ru,Система нейрокоммуникации и нейротренинга,0,0,0
7722333690,"ООО ""ТРИДЕКЬЮ""",8 (926) 017-17-70,info@3dquality.ru,Ручной 3D-сканер,0,0,0
7726392583,"ООО ""РАДИОТЕХ""",8 (499) 455-04-35,"sales@goodwan.ru
 info@goodwan.ru",Умная каска,0,0,0
7703437125,"ООО ""ИСЕЙВРУС""",8 (495) 775-37-07,info@esaverus.ru,Платформа удаленного управления освещением,0,0,0
5052007599,"ОАО ""ИАИ""",8 (495) 792-02-10,info@istok-audio.com,Информационный терминал для людей с ограниченными возможностями,0,0,0
7730170167,"АО ""КОНЦЕРН ""ВЕГА""",8 (495) 933-15-63,mail@vega.su,Комплекс фиксации нарушений ПДД,0,0,0
7805729198,"ООО ""Статанли Технолоджис""",8 (921) 875-23-96,hello@statanly.com,Системы и сервисы на базе машинного обучения и искусственного интеллекта,0,0,0
9705052396,"ООО ""КУБ""",8 (800) 500-54-36,support@kub-24.ru,Облачный сервис для работы со счетами и финансами,0,0,0
7727737304,"ООО ""Гранд-Крио""",8 (985) 991-47-50,mail@icequeen-cryo.com,Криокапсула,0,0,0
7703016247,"ООО НПФ ""ПОТОК ИНТЕР""",8 (495) 025-20-20,post@potok.com,Технология обеззараживания воздуха,0,0,0
9705121931,"ООО ""Скиллфолио""",8 (495) 215-21-33,support@skillfolio.ru,Программы диагностики и развития soft skills,0,0,0
9705052396,"ООО ""КУБ""",8 (800) 500-54-36,support@kub-24.ru,Программа для ООО и ИП по ведению управленческого учета и сквозной аналитики,0,0,0
7731333350,"ООО ""ЭКОЛАЙТ""",8 (903) 795-19-19,info@ecolight.ru,Устройство защиты от искрения,0,0,0
7730618850,"ООО ""Л КАРД""",8 (495) 785-95-15,info@lcard.ru,Кардиокресло,0,0,0
9705016006,"ООО ""ТАЙБЕР",8 (495) 114-56-48,info@tiber.su,Беспилотный летательный аппарат,0,0,0
2130004426,"ООО ""Реал-в""",8 (495) 488-70-67,lab@z-union.ru,Модель прогнозирования вероятности просрочки выплат по кредитам компаниями-клиентами банка,0,0,0
7719534413,"ООО ""ЭКСКЛЮЗИВНЫЕ БИЗНЕС-ТЕХНОЛОГИИ""",8 (499) 678-82-80,sales@excbt.ru,Система учета и мониторинга энергоресурсов,0,0,0
7733316720,"ООО ""СРТ""","8 (495) 191-22-64
 8 (800) 550-83-54",info@strij.tech,Умный счетчик воды с дистанционным снятием показаний,0,0,0
7733316720,"ООО ""СРТ""","8 (495)191-22-64
 8 (800) 550-83-54",info@strij.tech,Автоматизированная система коммерческого учета газа,0,0,0
